<Acq date>	TB00001K	TB00002K	TB00003K
13-01-2014_03:02:11.611	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:02:27.608	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:02:59.606	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:03:31.606	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:04:03.606	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:04:19.606	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:04:35.608	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:05:07.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:05:39.606	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:06:11.606	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:06:27.606	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:06:43.608	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:07:15.606	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:07:47.606	13.333333333333334	15.5	13.333333333333334
13-01-2014_03:08:19.606	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:08:35.606	13.333333333333334	15.5	13.333333333333334
13-01-2014_03:08:51.607	13.333333333333334	15.0	13.333333333333334
13-01-2014_03:09:23.606	13.333333333333334	15.5	13.333333333333334
13-01-2014_03:09:55.606	13.333333333333334	15.5	13.333333333333334
13-01-2014_03:10:27.606	13.333333333333334	15.0	13.333333333333334
13-01-2014_03:10:43.606	13.333333333333334	15.0	13.333333333333334
13-01-2014_03:10:59.607	13.333333333333334	15.0	13.333333333333334
13-01-2014_03:11:31.606	13.666666666666666	15.0	13.333333333333334
13-01-2014_03:12:03.606	13.333333333333334	15.0	13.333333333333334
13-01-2014_03:12:35.606	13.333333333333334	15.0	13.333333333333334
13-01-2014_03:12:51.606	13.333333333333334	15.0	13.333333333333334
13-01-2014_03:13:07.607	13.333333333333334	15.0	13.333333333333334
13-01-2014_03:13:39.606	13.333333333333334	15.0	13.333333333333334
13-01-2014_03:14:11.606	13.333333333333334	15.0	13.333333333333334
13-01-2014_03:14:43.606	13.333333333333334	15.0	13.333333333333334
13-01-2014_03:14:59.606	13.333333333333334	15.0	13.333333333333334
13-01-2014_03:15:15.607	13.333333333333334	15.0	13.333333333333334
13-01-2014_03:15:47.606	13.333333333333334	15.0	13.333333333333334
13-01-2014_03:16:19.606	13.333333333333334	15.0	13.333333333333334
13-01-2014_03:16:51.606	13.333333333333334	15.0	13.333333333333334
13-01-2014_03:17:07.606	13.333333333333334	15.0	13.333333333333334
13-01-2014_03:17:23.607	13.333333333333334	15.0	13.333333333333334
13-01-2014_03:17:55.605	13.666666666666666	15.0	13.333333333333334
13-01-2014_03:18:27.605	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:18:59.606	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:19:15.605	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:19:31.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:20:03.605	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:20:35.605	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:21:07.605	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:21:23.605	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:21:39.606	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:22:11.609	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:22:43.606	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:23:15.605	13.666666666666666	15.5	13.666666666666666
13-01-2014_03:23:31.605	13.666666666666666	15.5	13.666666666666666
13-01-2014_03:23:47.606	13.666666666666666	15.5	13.666666666666666
13-01-2014_03:24:19.605	13.666666666666666	15.5	13.666666666666666
13-01-2014_03:24:51.605	14.0	15.5	13.666666666666666
13-01-2014_03:25:23.605	14.0	15.5	13.666666666666666
13-01-2014_03:25:39.605	14.0	15.5	13.666666666666666
13-01-2014_03:25:55.606	14.0	15.5	13.666666666666666
